SA2_MAIN11,SA2_5DIG11,SA2_NAME11,SA3_CODE11,SA3_NAME11,SA4_CODE11,SA4_NAME11,GCC_CODE11,GCC_NAME11,STE_CODE11,STE_NAME11,ALBERS_SQM,Crop_Area_ha
310021279,31279,Lake Manchester - England Creek,31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,112706004.7,0
306021150,31150,Lamb Range,30602,Cairns - South,306,Cairns,3RQLD,Rest of Qld,3,Queensland,212626393.9,2
316061442,31442,Landsborough,31606,Sunshine Coast Hinterland,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,134192908.4,2
310021280,31280,Lockyer Valley - East,31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,741340496.4,4330
311041322,31322,Logan Village,31104,Jimboomba,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,74286885.15,13
310021281,31281,Lowood,31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,617760252.6,994
312021346,31346,Mackay,31202,Mackay,312,Mackay,3RQLD,Rest of Qld,3,Queensland,3956624.119,3
306051169,31169,Malanda - Yungaburra,30605,Tablelands (East) - Kuranda,306,Cairns,3RQLD,Rest of Qld,3,Queensland,1255464103,350
306051170,31170,Mareeba,30605,Tablelands (East) - Kuranda,306,Cairns,3RQLD,Rest of Qld,3,Queensland,479451688.2,224
316061443,31443,Maroochy Hinterland,31606,Sunshine Coast Hinterland,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,526370822.7,14
311031317,31317,Marsden,31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,6916265.492,2
319051524,31524,Maryborough (Qld),31905,Maryborough,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,84248936.51,8
319051525,31525,Maryborough Region - South,31905,Maryborough,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,3821918385,11
307011175,31175,Miles - Wandoan,30701,Darling Downs (West) - Maranoa,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,11840246918,52
319011500,31500,Millbank - Avoca,31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,9546434.749,7
307021181,31181,Millmerran,30702,Darling Downs - East,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,4518305169,0
319021508,31508,Monto - Eidsvold,31902,Burnett,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,11157996223,134
313041374,31374,Morayfield,31304,Narangba - Burpengary,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,24856961.17,4
308031212,31212,Mount Morgan,30803,Rockhampton,308,Fitzroy,3RQLD,Rest of Qld,3,Queensland,490677597.5,1
311031318,31318,Munruben - Park Ridge South,31103,Browns Plains,311,Logan - Beaudesert,3GBRI,Greater Brisbane,3,Queensland,20749543.63,3
316041432,31432,Nambour,31604,Nambour - Pomona,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,54024551.4,10
319021509,31509,Nanango,31902,Burnett,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,1648841539,15
313041375,31375,Narangba,31304,Narangba - Burpengary,313,Moreton Bay - North,3GBRI,Greater Brisbane,3,Queensland,37682328.86,2
316041433,31433,Noosa Hinterland,31604,Nambour - Pomona,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,820075433.1,19
318021486,31486,Northern Beaches,31802,Townsville,318,Townsville,3RQLD,Rest of Qld,3,Queensland,1007360616,42
309071255,31255,Ormeau - Yatala,30907,Ormeau - Oxenford,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,72087561.6,4
309071256,31256,Oxenford - Maudsland,30907,Ormeau - Oxenford,309,Gold Coast,3RQLD,Rest of Qld,3,Queensland,26954401.43,0
310011275,31275,Oxley (Qld),31001,Forest Lake - Oxley,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,6890518.515,1
303051074,31074,Pallara - Willawong,30305,Rocklea - Acacia Ridge,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,26592480.67,69
316061444,31444,Palmwoods,31606,Sunshine Coast Hinterland,316,Sunshine Coast,3RQLD,Rest of Qld,3,Queensland,115229518.6,7
308031215,31215,Parkhurst - Kawana,30803,Rockhampton,308,Fitzroy,3RQLD,Rest of Qld,3,Queensland,28426236.3,1
312021351,31351,Pioneer Valley,31202,Mackay,312,Mackay,3RQLD,Rest of Qld,3,Queensland,1186124164,0
307021182,31182,Pittsworth,30702,Darling Downs - East,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,1054977205,13
306041165,31165,Port Douglas,30604,Port Douglas - Daintree,306,Cairns,3RQLD,Rest of Qld,3,Queensland,189637336.8,1
301021009,31009,Redland Bay,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,46816390.93,32
303031064,31064,Rochedale - Burbank,30303,Mt Gravatt,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,47276494.04,46
308031218,31218,Rockhampton Region - East,30803,Rockhampton,308,Fitzroy,3RQLD,Rest of Qld,3,Queensland,680170163.1,16
308031219,31219,Rockhampton Region - North,30803,Rockhampton,308,Fitzroy,3RQLD,Rest of Qld,3,Queensland,7566887635,74
303051076,31076,Rocklea - Acacia Ridge,30305,Rocklea - Acacia Ridge,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,22517044.95,1
307011177,31177,Roma Region,30701,Darling Downs (West) - Maranoa,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,58633628249,1
310021282,31282,Rosewood,31002,Ipswich Hinterland,310,Ipswich,3GBRI,Greater Brisbane,3,Queensland,678431882.7,161
303061078,31078,Runcorn,30306,Sunnybank,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,6587205.296,0
303041070,31070,Salisbury - Nathan,30304,Nathan,303,Brisbane - South,3GBRI,Greater Brisbane,3,Queensland,9554819.184,1
314011387,31387,Samford Valley,31401,Hills District,314,Moreton Bay - South,3GBRI,Greater Brisbane,3,Queensland,166048690.5,1
312021352,31352,Sarina,31202,Mackay,312,Mackay,3RQLD,Rest of Qld,3,Queensland,1438378313,16
312021353,31353,Seaforth - Calen,31202,Mackay,312,Mackay,3RQLD,Rest of Qld,3,Queensland,2095432895,6
301021011,31011,Sheldon - Mount Cotton,30102,Cleveland - Stradbroke,301,Brisbane - East,3GBRI,Greater Brisbane,3,Queensland,65255778.52,1
307031185,31185,Southern Downs - East,30703,Granite Belt,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,1634265585,132
307031186,31186,Southern Downs - West,30703,Granite Belt,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,2686431288,533
307031187,31187,Stanthorpe,30703,Granite Belt,307,Darling Downs - Maranoa,3RQLD,Rest of Qld,3,Queensland,33599116.13,207
